#{"t_start": 1753856246.5640721, "env_id": "None"}
r,l,t
321.19806,938,16.397174
298.4376,1093,16.710518
546.242,1195,16.95999
406.55447,1331,27.505523
664.58386,1482,27.820278
638.8315,1614,28.10652
552.36676,1748,28.397473
1103.975,1934,38.185327
1426.0382,1954,38.262423
854.8261,2039,38.453688
509.85532,988,39.143746
379.8101,1200,39.304768
415.3366,1064,39.794871
1730.928,2451,39.932307
1273.2593,2476,40.018928
1322.3021,2547,40.187098
808.09247,950,52.871542
1678.4169,2711,52.933048
1527.6621,2917,53.342348
525.5034,1390,53.541564
342.16833,1193,64.717025
519.151,860,64.799142
837.52795,1659,65.486138
926.63995,3632,65.568155
1328.2667,1596,65.789063
414.3075,803,65.966835
547.31976,1537,78.547445
839.5995,2815,78.70033
225.50792,1042,90.98603
698.37427,2220,101.377769
2416.2583,2703,101.494758
2577.092,4000,101.562046
518.1402,1647,101.755563
942.6125,2740,101.812576
1474.3278,3510,102.417924
1202.5068,2377,102.533691
2528.9705,3769,102.70574
180.20572,556,102.834774
2130.8228,3687,112.076874
767.246,1890,112.786135
841.0387,1635,113.010522
921.8752,2146,113.218275
1481.4591,3704,122.453444
414.4964,1096,123.231041
1401.3041,4000,135.93328
686.2666,920,136.10152
1245.2616,1749,136.287917
2872.5288,3816,136.636369
917.9056,1814,136.70387
237.23112,371,136.814368
2439.4817,3819,136.896226
601.7503,1512,136.983707
585.5641,1308,149.229105
1153.7253,1735,149.829984
1433.5999,2789,149.954945
846.4666,1304,150.063599
1928.843,2940,150.135666
2101.8994,3129,161.630582
1505.9945,2829,161.679685
702.7813,1426,162.425234
527.86774,1209,162.474399
255.94977,482,162.695912
782.7045,1338,162.736205
545.2456,910,173.52605
449.5447,1011,173.611959
2998.4084,4000,173.839231
1382.4894,1859,174.578608
912.3241,1124,186.90445
474.78503,1009,187.151608
1744.474,2514,187.233101
2256.8865,4000,187.527192
1435.5968,2630,198.872079
727.95447,1474,199.136765
1132.1793,1579,199.374824
1496.1604,2818,212.843498
2046.1129,4000,213.59599
2495.8047,4000,225.814919
1464.7413,2498,226.388448
1899.7053,4000,226.546144
1208.2019,2129,237.380905
1666.3657,2257,238.26845
1498.2102,2431,238.395262
3340.8477,4000,238.522839
1709.8342,2384,238.964223
3118.206,4000,253.688586
2651.949,3809,253.978204
1821.7654,4000,254.149055
404.032,816,254.423543
