#{"t_start": 1753856246.5640721, "env_id": "None"}
r,l,t
1393.0278,1918,254.607151
881.2891,1368,268.09768
531.90063,1205,268.682124
2240.4207,3727,268.85262
1677.3396,2339,269.156029
1161.671,2092,282.479342
2625.7944,4000,283.600116
1886.4603,4000,283.834561
996.46454,1403,284.125639
3079.9578,4000,294.20515
1852.0808,2221,294.41348
1082.1445,2266,294.905162
3241.1191,4000,319.643266
997.9873,1245,319.893612
1007.0136,1591,319.996099
2881.8826,4000,320.319923
1381.2806,1893,320.371628
2219.7463,3435,320.424341
2367.7551,4000,321.118279
2327.726,2814,331.91035
1954.3553,3289,332.154567
2181.1057,3853,332.483278
1613.1088,2673,332.631274
1418.184,2085,332.786378
911.02905,1621,345.634957
3349.4285,4000,345.69587
1271.3738,1678,354.263065
2222.3672,4000,354.322442
3472.4966,4000,354.428529
1797.0734,2039,354.482285
1140.293,1780,354.605769
893.39435,1839,354.781764
1821.758,3028,354.984071
1637.0587,1799,356.006151
1035.8909,2121,369.74031
894.1826,1424,381.44229
1630.0833,2445,381.614609
1537.4395,1723,381.674186
705.75085,1279,381.747355
2085.738,2897,382.044014
2396.609,3366,382.187341
2387.4575,2942,394.105848
1164.7937,1884,394.212121
1810.1086,2335,394.504143
3348.5806,4000,394.572276
1521.3573,1897,395.05808
1446.0876,1547,409.069266
1759.6844,2717,409.407378
1218.5967,1430,409.749737
507.05173,999,409.793457
1438.9884,1432,409.884588
2076.6501,2921,421.994684
1373.789,1444,422.095817
2381.4375,3293,422.466606
1495.3522,2032,422.823666
1630.7123,2062,434.257538
803.5491,1039,434.332511
1641.0596,2442,434.63985
1708.8116,1912,434.806624
3743.2578,4000,434.881582
1302.4261,1979,435.032645
2054.3064,2326,435.435945
1280.2024,1523,448.174722
578.6405,728,448.695455
1539.4528,1707,448.811374
503.78394,553,457.389271
1518.2657,2028,457.707828
1336.1337,1868,457.783397
1731.224,1869,458.296623
837.34656,1462,458.556661
2741.7056,3183,468.13258
1615.6046,2291,468.985591
765.57385,1079,469.093055
1490.3003,2164,480.675244
1979.8154,2270,480.828357
3234.8164,4000,481.009712
1082.612,1324,481.339091
890.7976,1154,481.389797
1967.4791,2207,481.489033
3359.3157,3875,483.171793
3445.0667,4000,493.566033
2089.986,2306,494.016938
2867.7297,3485,494.507859
2003.7922,2182,494.679883
678.5215,1212,495.228423
1908.5002,2278,509.169925
1818.849,1990,522.412661
1728.3708,2198,522.54638
1055.8595,1063,522.694494
1239.6007,1834,522.751381
1328.8309,1350,523.063568
3338.7908,4000,524.78692
1276.3184,2031,537.520467
2830.597,2955,537.7593
2084.928,2576,547.437167
1740.5233,2076,547.713009
845.88324,1196,547.868558
2695.5874,3930,548.100284
1764.7583,2066,548.268072
2479.3042,3466,548.498245
219.9518,246,548.569967
1024.647,1238,548.980594
3459.0156,3574,549.197257
1383.6039,1829,549.311594
3484.8916,4000,561.452683
2894.7104,3401,561.733607
1275.9949,2169,562.536847
1544.0502,2610,576.853647
903.9669,1138,576.930083
1046.4391,1283,577.254383
944.6717,1174,577.593701
321.38855,410,589.935989
1416.0563,1792,590.549809
1086.2216,1895,590.82631
1853.4266,2610,601.620305
2088.1567,2333,601.665349
3415.718,4000,602.14555
680.38763,1385,602.260026
2491.6267,3102,602.800373
508.18,639,615.272953
778.6793,1195,615.980759
2723.7979,3241,616.358524
2564.5583,4000,627.511044
2795.2073,4000,628.087653
1384.4576,1741,628.275776
2112.8904,2786,628.376088
2986.991,4000,628.417204
613.01514,743,628.51203
2102.6235,2445,640.746872
3844.151,4000,641.191141
2930.5798,3785,641.385665
1888.2415,2838,653.611068
1443.8871,1634,653.865462
979.7433,1357,654.129378
1247.5758,1427,654.361263
2770.6833,4000,664.141085
2122.794,2692,664.339007
1296.9692,1760,664.640279
2381.9185,3145,665.124323
1409.8491,2535,665.180319
834.39404,891,665.240017
1251.8534,1616,665.367801
3444.559,3946,678.688015
3355.747,4000,678.901051
1040.2197,1170,679.035878
1728.7412,2285,690.398707
969.96344,1212,690.73038
835.5952,1021,705.613517
1364.6221,1696,705.760263
2372.1301,2496,705.843404
1817.8822,2211,706.061427
3010.8083,4000,706.207964
2981.7446,4000,706.395057
1947.794,2215,719.172613
3549.5662,4000,719.234873
577.001,584,719.704647
1451.4536,2436,719.805383
666.0749,759,720.002444
2502.3337,3070,720.071288
2962.463,3636,731.664072
2210.8398,2463,731.800084
2384.7014,2573,746.138013
1895.8577,2221,747.052915
3961.084,4000,756.327398
3283.87,3609,756.501659
2429.0193,2482,756.755937
1706.5826,2013,757.288315
2150.2131,2258,757.330137
1007.98114,1107,757.3917
1671.5681,2228,770.717088
1540.3167,1874,770.941555
3598.8628,4000,771.086666
978.8352,1080,772.066745
3207.4028,4000,784.744244
3762.4084,4000,798.00487
2643.918,4000,798.502906
3505.6123,4000,799.080966
2991.178,4000,812.536376
1972.9117,2132,812.647025
3439.945,4000,813.66894
2208.8872,2906,829.845787
3053.1245,3481,830.646156
2215.155,3013,843.271656
3862.2534,4000,843.413067
1154.5403,1407,843.553881
2343.632,3906,843.634099
3145.5796,3139,844.179219
1303.9985,3017,844.428621
760.91736,820,844.523183
1630.3605,1724,844.871345
1242.7626,1757,845.060647
3063.1106,4000,858.08377
2580.976,2792,858.15424
2484.5325,2778,858.835408
3038.6328,4000,859.319463
1693.7291,2095,872.036474
2909.917,3030,873.377133
1608.4102,1803,874.427837
1350.541,1382,888.789349
2043.4375,2222,889.910798
938.4613,900,889.979432
1951.9756,2136,890.292352
2191.7153,2473,901.507768
1309.2661,1501,901.597906
2204.437,2735,902.122595
2679.6067,2724,915.920991
1460.9153,1876,917.722552
3684.5066,3954,930.498563
2537.055,3558,930.854699
3093.3755,3654,931.095065
1393.0507,1716,931.179486
3302.5068,4000,943.463079
3088.6855,3327,943.580286
2733.4927,4000,943.799418
3726.835,4000,944.498347
974.3147,1084,956.357787
2304.8135,2556,956.517299
3033.3687,3536,957.074393
901.8112,1418,957.404334
2310.631,2847,958.784346
1149.7986,1388,971.825442
1912.4259,2164,972.006395
3584.6184,3982,972.508145
213.88406,286,982.875976
2977.346,4000,983.006159
1063.7568,1370,983.168796
1001.1189,1042,983.274072
3115.322,3947,983.375782
1730.4998,2257,984.248154
2894.8728,3151,984.456866
1700.8717,1771,984.511435
2841.889,3510,997.921369
3386.3667,4000,998.127316
908.8656,1022,998.297124
1128.5042,1303,1011.871042
2432.9407,2761,1012.680536
2891.9836,3599,1027.198069
3704.0054,4000,1027.341065
1590.8557,1686,1027.489909
1032.9672,1187,1027.597817
2374.9976,2600,1027.677852
2034.8959,2199,1027.778553
1942.3918,3058,1027.853171
1295.8118,1610,1040.997403
2442.4543,2580,1042.131611
895.8913,1082,1055.429391
1068.0693,1294,1055.584624
2443.3552,2514,1055.708295
2381.8113,3326,1055.75045
1312.5304,1439,1056.17672
4077.0076,4000,1070.39293
3859.0518,4000,1070.702935
2449.0837,2599,1070.754037
1405.8379,1566,1071.251058
921.32434,1072,1085.340684
3858.8425,4000,1085.451195
885.30914,1084,1085.541948
1292.5063,1511,1085.597503
2688.9558,2990,1086.027936
1105.392,1234,1100.108687
2588.6404,3175,1101.798558
1139.0785,1189,1116.983829
3279.8542,4000,1118.267581
3944.313,4000,1118.375714
2043.2009,3964,1118.422632
2466.3982,2845,1118.5978
1618.0542,1806,1118.709491
2221.0642,2553,1132.377682
2937.0195,3194,1132.588404
2500.9036,3550,1132.958679
2309.4265,2760,1145.394447
919.58435,1049,1145.46419
3717.0596,4000,1161.013698
2836.2104,4000,1161.086115
2328.1113,2479,1161.677631
1902.572,2034,1174.655624
2843.1204,3066,1175.132216
3181.0603,4000,1175.286064
3664.2075,4000,1175.7611
2349.298,2624,1176.224831
3448.9055,3779,1176.376802
2387.342,2860,1191.420131
1992.898,2572,1191.783985
2307.5947,2634,1193.027152
1304.4249,1317,1193.319338
2978.8967,3613,1207.721895
2891.0566,2989,1219.547162
1387.1622,1806,1220.250679
1230.3942,1557,1233.906412
3317.2002,4000,1234.128148
2778.771,3811,1234.548307
1839.1685,2561,1234.680594
1549.8256,1795,1235.061552
3048.7783,3298,1249.419254
2353.0242,3769,1249.831275
3638.1113,4000,1250.468728
978.00616,1189,1264.669352
2673.9675,2828,1264.987348
3088.5881,3506,1265.057576
1358.0896,1485,1265.194807
3591.3013,4000,1265.460145
3681.0825,3655,1265.671588
3917.3538,4000,1279.195888
2915.0486,4000,1296.551726
2450.223,4000,1311.80452
1486.9879,1772,1312.064043
3967.1978,4000,1312.560291
3999.906,4000,1326.106145
2300.0042,2466,1326.333666
2398.413,2629,1326.424847
3704.9407,4000,1326.664019
3847.3184,4000,1326.966192
2828.7341,3754,1340.43588
2356.6282,4000,1340.664655
2929.3,3735,1340.901854
1514.3395,1682,1341.302759
3406.8027,4000,1354.184678
4220.848,4000,1354.446257
3246.017,4000,1354.55888
1107.9788,1257,1354.739536
3630.2239,3605,1367.633083
2929.2463,2926,1380.621831
2534.4705,2688,1381.949516
3641.0605,4000,1382.371048
2008.1002,2344,1382.445426
1831.0624,2278,1396.447115
2054.2222,2722,1397.105462
3721.2585,4000,1397.45307
2365.8809,2624,1410.72385
2098.0818,2311,1410.774699
2328.7996,3576,1410.814276
1096.4473,1355,1410.964417
3943.6016,4000,1411.461456
3667.6597,4000,1411.928454
2635.4253,2958,1426.327285
488.7199,842,1426.406516
927.77374,1009,1427.424882
2020.8877,2066,1427.727994
2703.4207,2931,1427.774127
2359.8247,2497,1441.856554
3191.3152,4000,1441.974087
4148.205,4000,1456.759665
1916.5165,2220,1456.952811
429.767,508,1457.954073
2332.787,3266,1472.413975
2231.576,2344,1472.749037
1002.52637,1268,1473.737806
4219.572,4000,1487.427123
3033.6929,3693,1488.181211
3659.8162,3750,1488.336902
1015.3379,1160,1501.726227
2914.9143,4000,1502.091363
1131.483,1545,1502.149146
1974.5352,2257,1502.415331
3864.44,4000,1502.663468
3954.7583,4000,1513.584116
4088.4216,4000,1513.668036
738.7447,767,1513.782665
1164.7876,1285,1514.085684
4079.9998,4000,1514.195088
3568.6807,4000,1526.670551
3648.9292,4000,1526.717524
495.06476,667,1527.63953
2023.0135,2057,1541.576215
3881.3503,4000,1541.69227
1847.5524,2120,1542.325915
2032.777,2017,1542.632868
1653.9338,3167,1556.034892
1733.7819,1849,1556.823039
3907.7542,4000,1556.901351
2009.1144,2148,1557.117915
4035.2373,4000,1570.083973
1977.1638,2237,1571.840139
3200.8271,4000,1584.668509
3215.0103,3266,1585.164934
4026.2053,4000,1585.542675
1603.5164,1929,1585.745275
1636.9225,2198,1599.29738
3568.0254,3720,1599.628196
1499.1735,1805,1600.119486
2955.9197,3099,1614.657452
822.5479,1168,1614.952153
786.3763,760,1615.220252
3487.57,4000,1615.31099
4081.385,4000,1630.483712
3175.5352,4000,1630.958505
1721.0731,1976,1631.905372
2030.6433,2107,1646.497938
3608.3474,4000,1646.828515
1355.3138,1436,1646.917741
3491.573,3801,1647.51679
1441.9187,1553,1647.62388
3781.9702,4000,1661.279154
4125.109,4000,1661.569071
3609.9302,4000,1663.300047
1888.2401,2365,1678.236289
4092.688,4000,1679.270078
2319.4531,2308,1693.07793
4216.565,4000,1693.158032
2887.0293,2981,1693.440543
3799.442,4000,1693.555133
3231.3416,3745,1693.651544
2616.2227,2778,1723.797532
1963.4724,2191,1724.260422
2387.9048,2646,1724.361588
4072.3923,4000,1724.569462
3127.3958,3418,1739.833993
1964.5312,2272,1740.237144
3072.6965,4000,1740.325563
3745.081,4000,1740.561806
3636.157,4000,1740.651582
4122.413,4000,1754.457841
667.6061,899,1754.94669
4208.267,4000,1769.470905
3257.9314,3528,1785.489056
3927.997,4000,1786.032753
3965.3606,4000,1786.107202
3954.6348,4000,1800.353245
3502.4055,4000,1800.530597
3759.6804,3775,1801.557032
3784.442,4000,1817.481625
3991.1558,4000,1817.583871
4129.781,4000,1817.785964
3512.1643,4000,1831.906816
3867.433,4000,1832.358279
3930.9946,4000,1832.600262
3718.1787,4000,1832.673298
3240.8325,3637,1846.920921
4202.1147,4000,1847.175889
3934.3362,3764,1847.545087
1647.3236,1644,1862.326361
2497.2346,3217,1863.583929
3299.7712,3859,1878.630903
1793.622,1844,1878.929222
4298.662,4000,1893.49397
3354.9595,3877,1893.681782
3692.8525,4000,1893.817371
2279.29,2510,1894.534982
3519.3982,4000,1909.301397
4119.191,4000,1910.83806
3890.7576,4000,1924.922511
4056.7708,4000,1925.797953
1972.9666,2104,1926.279488
4058.7769,4000,1941.006288
1955.1132,2084,1941.333542
3892.674,4000,1942.144284
3905.5818,4000,1942.479084
3926.674,4000,1956.343002
4272.1016,4000,1956.842971
3562.6365,4000,1973.080184
4123.283,4000,1974.079023
1007.89856,1040,1989.623204
3669.3699,4000,1990.20386
4118.969,4000,1990.377467
4175.349,4000,2006.054398
2820.04,3093,2006.687807
3920.1729,4000,2006.770977
3044.2742,3049,2007.1115
3981.178,4000,2022.757864
3513.535,4000,2023.016187
3798.4468,4000,2037.65362
4156.9336,4000,2037.97181
2523.2073,2638,2038.331142
3893.4895,4000,2052.998437
4205.6333,4000,2053.338938
4157.065,4000,2053.843765
2082.1946,2100,2054.624605
2963.604,2948,2069.386844
3855.4934,4000,2070.690696
981.2406,937,2071.794142
4290.6045,4000,2087.402509
4076.9841,4000,2088.075145
4200.82,4000,2103.763534
3863.564,4000,2104.407007
4009.0295,4000,2104.489534
575.0011,615,2104.531937
4178.0254,4000,2119.925723
3093.1816,3327,2120.137924
4182.6816,4000,2120.223979
4137.456,4000,2136.543297
1536.8461,1381,2136.698511
3122.1365,3169,2136.742904
4161.135,4000,2150.56794
4387.2734,4000,2151.092349
4021.4282,4000,2151.435109
1751.3551,1950,2152.00437
2353.6973,2224,2167.190367
4234.1094,4000,2167.41421
4072.1592,4000,2167.879937
4339.2876,4000,2182.886096
3793.0955,4000,2183.678432
2017.4918,2646,2183.943585
163.91629,181,2199.353282
2319.84,2232,2200.131529
4062.4094,4000,2200.362911
1638.3385,1539,2200.58062
1861.167,2596,2200.896945
590.5517,534,2200.939533
4140.5435,4000,2216.308415
3932.674,4000,2217.386655
1193.8665,1253,2233.610947
2788.9958,4000,2248.497626
2837.9546,4000,2248.546823
3675.5435,3821,2248.750367
3351.4233,3279,2248.883755
4120.67,4000,2249.631386
3757.2507,4000,2264.553948
3965.6877,4000,2265.907035
4053.8499,4000,2282.516453
2597.4353,2956,2282.621481
2313.887,3345,2283.206441
4137.96,4000,2283.343556
4325.231,4000,2299.259738
3618.8257,4000,2299.63965
4208.8906,4000,2316.114267
4287.758,4000,2331.149939
3393.467,3723,2333.013724
4094.7158,4000,2349.388608
4124.2217,4000,2349.432791
4203.355,4000,2349.635619
3707.632,4000,2349.769802
3943.1309,4000,2350.460966
4319.5728,4000,2365.95315
4275.2295,4000,2382.368482
1481.4508,1620,2382.616498
2165.808,2880,2382.745498
2176.1013,2146,2382.96622
3610.2607,4000,2384.450474
3973.5571,4000,2384.554821
4230.2754,4000,2399.769357
4254.663,4000,2399.908364
1474.8378,1434,2400.051299
1752.7429,1790,2400.270869
995.26776,886,2400.866225
460.78198,449,2401.349322
4059.135,4000,2416.498886
2981.9639,3037,2432.964793
4062.2942,4000,2433.080953
4023.8035,4000,2450.838964
4051.1719,4000,2450.887943
4155.9214,4000,2467.366389
3513.5059,3649,2467.787628
3861.7617,4000,2483.644437
1313.3702,1223,2483.875593
4334.81,4000,2483.992958
3743.9888,4000,2485.49531
4044.3318,4000,2485.60498
3860.8584,4000,2500.820643
4200.735,4000,2500.952502
4208.9478,4000,2501.255043
453.60553,413,2501.387419
3818.664,4000,2501.878814
4251.663,4000,2517.231209
3401.7634,4000,2517.803779
2237.6702,1996,2518.550979
766.37683,781,2533.869829
4269.106,4000,2534.667443
4250.4487,4000,2534.790862
827.9228,842,2551.769872
4295.079,4000,2552.589434
4207.2705,4000,2569.051529
3129.2788,3012,2584.094728
4381.2974,4000,2584.848164
4232.085,4000,2585.06714
4251.6245,4000,2585.203374
4283.977,4000,2601.378018
3775.7065,4000,2601.979325
4154.1245,4000,2602.114722
4111.439,4000,2602.507298
4006.1934,4000,2618.165472
4390.9604,4000,2618.721104
4205.86,4000,2633.984991
4200.5054,4000,2635.114163
4496.554,4000,2635.230268
4068.615,4000,2652.184259
4346.5903,4000,2667.805761
4349.0625,4000,2683.911591
2283.8699,2113,2684.620526
4111.176,4000,2684.767146
3436.3484,3226,2685.000242
4466.9536,4000,2685.569511
4441.976,4000,2700.889853
4226.959,4000,2701.002755
4070.536,4000,2701.700324
204.45517,256,2701.741365
2966.2998,4000,2703.248888
4313.648,4000,2718.347859
4364.807,4000,2719.276657
4309.4175,4000,2719.81102
1426.5411,1575,2736.378555
4074.5576,4000,2751.433808
4471.7944,4000,2751.550502
2182.5886,2034,2752.531139
4206.7456,4000,2753.805533
3686.018,4000,2769.695544
1130.5317,990,2770.074762
4282.649,4000,2786.073835
3564.0864,4000,2786.813472
3032.0203,3898,2786.901659
4324.3013,4000,2787.011512
4395.895,4000,2802.688611
4078.1165,4000,2802.913209
4415.321,4000,2820.267243
4413.837,4000,2820.660323
4502.557,4000,2821.614006
4085.9543,4000,2836.836481
4322.3604,4000,2853.416652
4362.741,4000,2853.699871
2933.923,3356,2854.562967
460.68295,453,2854.725302
4488.3853,4000,2854.780735
4457.6123,4000,2869.860564
4412.989,4000,2871.524652
4638.2856,4000,2887.880075
2682.4712,3952,2888.453324
3814.0713,4000,2888.658354
4427.5435,4000,2888.76812
4123.6987,4000,2904.278659
4184.9233,4000,2904.511621
521.17395,599,2905.123094
3985.8555,4000,2920.838859
4227.2485,4000,2922.058175
3130.026,2850,2922.425709
3700.7568,4000,2937.725503
4139.525,4000,2938.277228
2384.566,2219,2955.064382
1083.834,955,2955.177446
2197.8818,1993,2969.8677
4323.516,4000,2970.044464
4113.6294,4000,2970.216684
4360.9585,4000,2970.27201
4208.631,4000,2970.706405
4330.087,4000,2972.365723
912.78796,902,2988.210073
4186.279,4000,2988.576626
4133.1396,4000,3003.946619
4515.064,4000,3004.230985
2865.4824,2875,3004.335818
4274.652,4000,3005.214089
4255.2476,4000,3021.170938
2264.3564,2236,3021.242084
3996.363,4000,3022.434796
4426.354,4000,3038.117228
1429.1932,1448,3055.255347
2705.7947,2786,3055.363281
3175.2673,4000,3069.892757
4435.706,4000,3070.003831
4219.306,4000,3070.152794
4184.764,4000,3070.339346
4453.256,4000,3070.903996
4347.717,4000,3087.618975
795.14777,993,3088.782415
4397.1694,4000,3104.031122
4119.36,4000,3104.609746
4544.0728,4000,3104.894376
4451.182,4000,3105.005874
4448.4775,4000,3120.551013
4324.7173,4000,3122.005094
4190.5435,4000,3137.33849
1222.273,1245,3138.891008
4111.8496,4000,3139.193646
3853.7437,4000,3171.658397
4358.6196,4000,3171.761403
2719.5173,2886,3172.026829
4390.497,4000,3172.202307
4628.269,4000,3172.319557
4588.036,4000,3172.614732
4234.3594,4000,3173.212252
4156.7065,4000,3189.060935
3149.9878,4000,3205.984344
4259.5684,4000,3206.586516
3172.097,3070,3206.790668
3015.832,2722,3206.891124
4037.7852,4000,3206.940667
3776.9507,4000,3222.68523
3579.7202,4000,3239.296783
1372.7349,1366,3241.014143
4558.602,4000,3241.144397
3508.8591,4000,3273.445002
4515.8374,4000,3273.556811
4407.9355,4000,3273.816336
3539.1318,4000,3273.994768
3186.2368,3900,3274.08527
4442.465,4000,3274.143006
4542.519,4000,3289.901284
4312.3486,4000,3290.737812
4220.3623,3762,3307.598323
4344.6104,4000,3308.794902
3935.333,4000,3309.078262
4712.3228,4000,3309.136655
4326.691,4000,3324.469471
3494.5732,4000,3341.107327
4278.7803,4000,3357.223728
4292.467,4000,3357.387923
1845.698,1848,3358.669634
4529.1577,4000,3374.292701
4612.1494,4000,3374.395026
3901.8657,3853,3374.478504
4617.068,4000,3374.693336
4181.14,4000,3374.875032
4196.7183,4000,3374.964945
4097.624,4000,3390.43255
3934.2522,4000,3391.271054
4275.3545,4000,3407.897136
1606.6431,1544,3423.809637
3772.5632,4000,3423.859385
3217.534,2921,3423.994527
2284.9744,2623,3424.079871
3689.9028,4000,3424.219892
1231.281,1116,3424.902169
4658.4775,4000,3425.21125
2751.9966,3078,3441.715816
4594.244,4000,3457.794806
2751.4866,3247,3459.350703
3128.3196,3427,3474.594637
3225.8948,3670,3474.982426
3598.2415,3676,3475.465883
2622.9832,2358,3475.833099
4412.585,4000,3491.095602
4538.2583,4000,3491.920405
4470.933,4000,3508.74285
2817.429,3611,3509.168616
4401.122,4000,3524.861005
4558.7754,4000,3524.911046
4404.009,4000,3525.085535
3659.7864,4000,3525.86286
4293.683,4000,3540.728483
4368.5312,4000,3542.243149
4540.4175,4000,3558.24119
4693.311,4000,3574.116624
3640.933,4000,3574.809884
4264.295,4000,3575.196907
1347.7073,1230,3575.616517
4399.0356,4000,3575.719802
3811.912,4000,3590.554284
4453.9077,4000,3591.188645
4052.5305,4000,3592.030369
1927.0044,2988,3608.200907
2619.4426,3776,3608.239562
3937.6282,3724,3608.526943
4355.074,4000,3625.626935
4223.4927,4000,3625.676405
4144.8833,4000,3625.849787
4621.537,4000,3641.470629
4399.5107,4000,3659.038067
4590.5005,4000,3675.540211
4446.549,4000,3676.222178
2683.77,2714,3676.467421
4476.8584,4000,3676.644649
4266.0225,4000,3691.766317
4652.088,4000,3691.868142
4567.6763,4000,3692.275708
2808.6096,2448,3692.445977
4122.1885,4000,3692.923989
1991.0072,2190,3693.023307
4323.969,4000,3708.183114
4611.758,4000,3709.282804
4352.913,4000,3709.596807
4027.568,4000,3726.54792
4391.9077,4000,3726.727827
2658.4832,2333,3743.156682
3341.417,3085,3759.134633
1005.7566,1189,3759.334128
4618.0693,4000,3774.578218
4626.973,4000,3775.271425
809.72943,1219,3776.763842
4316.901,4000,3776.844722
4592.656,4000,3791.736785
4328.98,4000,3792.28301
4265.0767,4000,3792.384557
3899.914,4000,3792.878832
4472.4043,4000,3793.364482
2986.272,4000,3793.465588
4688.7886,4000,3808.966917
3814.5369,3628,3809.113878
4526.183,4000,3825.105313
4604.2603,4000,3841.915032
2924.788,2708,3858.165946
4572.354,4000,3859.529606
4050.0156,4000,3874.37928
4393.636,4000,3874.99814
4648.027,4000,3875.690255
3905.197,4000,3891.71788
4775.712,4000,3892.007836
3692.6255,4000,3892.57586
4306.1006,4000,3892.673334
4046.2952,4000,3893.184628
4470.229,4000,3908.370125
4437.0146,4000,3908.465779
4719.3633,4000,3909.222347
4491.757,4000,3909.36939
4512.6016,4000,3925.427767
4680.033,4000,3942.459009
4606.654,4000,3958.748309
4465.2354,4000,3974.663399
4334.456,4000,3974.855543
2366.6338,2366,3975.002895
611.32916,614,3975.04999
4048.1816,4000,3975.580207
2198.3362,2044,3975.629005
4276.4463,4000,3990.650149
4445.196,4000,3991.286182
3308.9067,3943,3992.296496
4542.45,4000,3993.023706
4780.851,4000,3993.127952
4224.9106,4000,4008.190652
4553.815,4000,4008.661116
4570.594,4000,4008.785096
4625.293,4000,4009.667721
4627.9917,4000,4042.58077
2589.4746,3275,4058.335204
4563.7344,4000,4075.882243
3318.2024,4000,4076.034646
4538.2495,4000,4076.098537
4670.0005,4000,4076.648075
4493.739,4000,4076.696132
4645.4453,4000,4093.933702
4322.657,4000,4094.676322
4735.6055,4000,4094.834786
4764.3057,4000,4115.828338
4822.064,4000,4115.942302
4536.1816,4000,4116.592412
3871.837,4000,4117.161289
4132.175,4000,4117.295469
4708.271,4000,4134.531639
3522.2183,3442,4151.469775
4612.3506,4000,4151.771476
4396.9214,4000,4185.233788
4493.2236,4000,4185.390568
4196.788,4000,4185.446973
3591.596,4000,4200.468319
4124.756,4000,4200.516351
157.7125,337,4200.833936
4487.851,4000,4201.23334
4607.0474,4000,4201.898473
4579.83,4000,4202.03442
4220.0327,4000,4218.218992
4174.188,4000,4218.318949
4252.737,4000,4218.833645
4653.051,4000,4219.292364
4651.9946,4000,4219.396369
4729.654,4000,4235.003419
1406.0594,1741,4251.74178
4267.3164,4000,4252.32322
4142.0835,4000,4266.973439
3673.9524,4000,4300.248956
4103.486,4000,4300.310317
4167.8516,4000,4300.8175
4435.2876,4000,4300.867229
3615.2004,4000,4301.186197
3968.5457,4000,4301.598692
4569.4287,4000,4317.013334
3205.0479,4000,4318.512093
4705.664,4000,4318.624454
4497.2363,4000,4319.114336
2858.7126,2837,4334.109425
4625.766,3973,4334.306695
4099.771,4000,4334.478549
4187.424,4000,4335.338886
872.8631,835,4335.688409
1519.4648,1431,4351.07415
4611.4287,4000,4367.028245
4530.299,4000,4367.329189
4424.504,4000,4400.727286
4700.0435,4000,4400.776922
4843.472,4000,4401.281907
4484.322,4000,4401.330274
4710.687,4000,4401.649097
4022.0847,4000,4416.657063
4644.7715,4000,4418.127228
4042.0576,4000,4433.750174
4648.285,4000,4434.001513
4524.21,4000,4434.193239
4835.704,4000,4434.36341
3863.341,3811,4435.075297
4778.7007,4000,4435.287304
4683.24,4000,4450.755988
3918.992,4000,4466.377603
4580.9023,4000,4466.69062
2165.4956,1904,4483.941663
4655.292,4000,4499.570945
4538.902,4000,4499.621714
4687.412,4000,4500.13005
4872.18,4000,4500.176929
4752.4043,4000,4514.966955
4341.52,4000,4515.389631
4091.0977,4000,4531.466332
4323.7563,4000,4532.767465
3513.942,3989,4532.98987
4630.046,4000,4533.209559
4114.7456,4000,4533.37582
